symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url
AXISBANK,CE,580,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=AXISBANK&instrument=OPTSTK&strike=580.00&type=CE&expiry=22FEB2018
AXISBANK,PE,550,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=AXISBANK&instrument=OPTSTK&strike=550.00&type=CE&expiry=22FEB2018
HDFC,CE,1840,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFC&instrument=OPTSTK&strike=1840.00&type=CE&expiry=22FEB2018
HDFC,PE,1780,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFC&instrument=OPTSTK&strike=1780.00&type=PE&expiry=22FEB2018
HDFCBANK,CE,1940,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFCBANK&instrument=OPTSTK&strike=1940.00&type=CE&expiry=22FEB2018
HDFCBANK,PE,1840,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFCBANK&instrument=OPTSTK&strike=1840.00&type=PE&expiry=22FEB2018
HDIL,CE,55,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDIL&instrument=OPTSTK&strike=55.00&type=CE&expiry=22FEB2018
HDIL,PE,50,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDIL&instrument=OPTSTK&strike=50.00&type=PE&expiry=22FEB2018
ICICIBANK,CE,340,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ICICIBANK&instrument=OPTSTK&strike=340.00&type=CE&expiry=22FEB2018
ICICIBANK,PE,320,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ICICIBANK&instrument=OPTSTK&strike=320.00&type=PE&expiry=22FEB2018
IDFCBANK,CE,52.5,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=IDFCBANK&instrument=OPTSTK&strike=52.50&type=CE&expiry=22FEB2018
IDFCBANK,PE,52.5,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=IDFCBANK&instrument=OPTSTK&strike=52.50&type=PE&expiry=22FEB2018
INFY,CE,1160,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=INFY&instrument=OPTSTK&strike=1160.00&type=CE&expiry=22FEB2018
INFY,PE,1060,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=INFY&instrument=OPTSTK&strike=1060.00&type=PE&expiry=22FEB2018
ITC,CE,285,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ITC&instrument=OPTSTK&strike=285.00&type=CE&expiry=22FEB2018
ITC,PE,265,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ITC&instrument=OPTSTK&strike=265.00&type=PE&expiry=22FEB2018
JINDALSTEL,CE,275,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=JINDALSTEL&instrument=OPTSTK&strike=275.00&type=CE&expiry=22FEB2018
JINDALSTEL,PE,260,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=JINDALSTEL&instrument=OPTSTK&strike=260.00&type=PE&expiry=22FEB2018
