symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url
KOTAKBANK,CE,1060,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=KOTAKBANK&instrument=OPTSTK&strike=1060.00&type=CE&expiry=22FEB2018
KOTAKBANK,PE,1000,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=KOTAKBANK&instrument=OPTSTK&strike=1000.00&type=PE&expiry=22FEB2018
LT,CE,1400,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=LT&instrument=OPTSTK&strike=1400.00&type=CE&expiry=22FEB2018
LT,PE,1340,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=LT&instrument=OPTSTK&strike=1340.00&type=PE&expiry=22FEB2018
MARUTI,CE,9300,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=MARUTI&instrument=OPTSTK&strike=9300.00&type=CE&expiry=22FEB2018
MARUTI,PE,8900,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=MARUTI&instrument=OPTSTK&strike=8900.00&type=PE&expiry=22FEB2018
RELIANCE,CE,940,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=RELIANCE&instrument=OPTSTK&strike=940.00&type=CE&expiry=22FEB2018
RELIANCE,PE,880,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=RELIANCE&instrument=OPTSTK&strike=880.00&type=PE&expiry=22FEB2018
SBIN,CE,305,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=SBIN&instrument=OPTSTK&strike=305.00&type=CE&expiry=22FEB2018
SBIN,PE,290,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=SBIN&instrument=OPTSTK&strike=290.00&type=PE&expiry=22FEB2018
