symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
INFY,5517098,1160.75,1,a,70,1
TCS,1252528,3050.2,1,a,70,1
VEDL,11738178,328.65,-1,a,70,1
JINDALSTEL,10566265,250.25,1,a,70,1
MARUTI,539442,8634.05,-1,a,70,1
RELCAPITAL,4670517,456.1,-1,a,70,1
SUNPHARMA,9402716,541.45,-1,a,70,1
TATAMOTORS,7537406,358.5,-1,a,70,1
ITC,10241726,267.1,1,a,70,1
LT,2475420,1292,1,a,75,1
