symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
BPCL,5927109,433,1,,75,1
RELCAPITAL,4448605,485.95,-1,,75,1
TATAMOTORS,8162168,372.05,1,,75,1
VEDL,12208990,343.15,-1,,70,1
TCS,1316768,3031.7,1,a,70,1
MARUTI,613149,9005.35,1,a,75,1
SUNPHARMA,15156634,555.95,-1,a,70,1
RELIANCE,4628263,938.7,1,a,70,1
LT,2218434,1344.25,1,a,70,1
