symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
BHARTIARTL,9353295,401.3,-1,a,75,1
BIOCON,3151593,600.2,1,a,70,1
INFY,4500987,1156.65,1,a,70,1
LT,2041603,1283.8,-1,a,70,1
MARUTI,564015,8729.35,-1,a,75,1
MINDTREE,2754412,817.2,1,a,75,1
TATAMOTORS,10828517,345.15,1,a,70,1
TCS,1110769,3003.95,-1,a,75,1
SUNPHARMA,7216518,514.6,1,a,75,1
