CURR+AF8-DATE,symbol,count+AF8-symbol,total+AF8-turnover,Outlook for March 5,CL,Actual,Outlook for March 6,CL,Actual,Outlook for 8th,CL,Actual,Outlook for 9th,CL
11-20-2018,RELIANCE,,,1,75,,,,,,,,,
11-20-2018,TATAMOTORS,,,1,65,,,,,,,,,
11-20-2018,HDFC,,,1,75,,,,,,,,,
11-20-2018,HDFC Bank,,,1,75,,,,,,,,,
11-20-2018,BHARTIARTL,,,-1,70,,,,,,,,,
11-20-2018,INFY,,,1,75,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
11-20-2018,,,,,,,,,,,,,,
