id,curr_time,symbol,volume,price
153622,"2018-01-29 09:14:51",HDFCBANK,2180917,1974.95
153623,"2018-01-29 09:14:51",AXISBANK,6749846,616.1
153624,"2018-01-29 09:14:51",HDIL,12306840,59.35
153625,"2018-01-29 09:14:51",IDFCBANK,12008960,58.2
153626,"2018-01-29 09:14:51",INFY,6774457,1175.4
153627,"2018-01-29 09:14:51",ICICIBANK,30183655,360.8
153628,"2018-01-29 09:14:51",HDFC,4622281,1908.3
153629,"2018-01-29 09:14:53",ITC,13124518,281.25
153630,"2018-01-29 09:14:53",KOTAKBANK,4061319,1092.35
153631,"2018-01-29 09:14:53",LT,6113475,1416.5
153632,"2018-01-29 09:14:53",JINDALSTEL,19512587,280.2
153635,"2018-01-29 09:14:56",SBIN,42466150,313.15
153636,"2018-01-29 09:14:57",TATASTEEL,8397681,769.15
153637,"2018-01-29 09:15:13",LT,17763,1418.6
153638,"2018-01-29 09:15:13",MARUTI,28563,9500
153639,"2018-01-29 09:15:13",JINDALSTEL,88749,280.9
153640,"2018-01-29 09:15:13",RELIANCE,21499,969.6
153641,"2018-01-29 09:15:14",INFY,20513,1167.25
153642,"2018-01-29 09:15:14",HDFC,23219,1910.65
153643,"2018-01-29 09:15:14",AXISBANK,19125,615.35
153644,"2018-01-29 09:15:15",TATASTEEL,13129,771.9
153645,"2018-01-29 09:15:16",SBIN,184558,314.65
153646,"2018-01-29 09:15:18",IDFCBANK,31351,58.7
153647,"2018-01-29 09:15:18",HDIL,42952,60
153648,"2018-01-29 09:15:18",KOTAKBANK,3062,1092.3
153649,"2018-01-29 09:15:18",ITC,38311,281.55
153650,"2018-01-29 09:15:21",SBIN,412329,314.1
153651,"2018-01-29 09:15:21",HDFC,47763,1912
153652,"2018-01-29 09:15:21",INFY,27671,1167.15
153653,"2018-01-29 09:15:21",JINDALSTEL,141288,280.85
153654,"2018-01-29 09:15:22",AXISBANK,43143,615.35
153655,"2018-01-29 09:15:23",ITC,62748,281.45
153656,"2018-01-29 09:15:24",RELIANCE,46111,970.6
153657,"2018-01-29 09:15:24",MARUTI,36894,9501.1
153658,"2018-01-29 09:15:25",TATASTEEL,16035,772.95
153659,"2018-01-29 09:15:26",HDFCBANK,3573,1978.45
153660,"2018-01-29 09:15:26",ICICIBANK,74417,357.55
153661,"2018-01-29 09:15:29",INFY,35275,1166.75
153662,"2018-01-29 09:15:30",SBIN,493799,315.25
153663,"2018-01-29 09:15:30",AXISBANK,60347,615.8
153664,"2018-01-29 09:15:30",HDFC,60139,1914
153665,"2018-01-29 09:15:30",HDFCBANK,4801,1980.6
153666,"2018-01-29 09:15:31",TATASTEEL,17557,773.05
153667,"2018-01-29 09:15:31",ICICIBANK,96344,357.55
153668,"2018-01-29 09:15:32",KOTAKBANK,5920,1092.2
153669,"2018-01-29 09:15:33",ITC,76437,281.25
153670,"2018-01-29 09:15:33",RELIANCE,63254,970.55
153671,"2018-01-29 09:15:34",IDFCBANK,53916,58.7
153672,"2018-01-29 09:15:34",JINDALSTEL,211301,282.3
153673,"2018-01-29 09:15:34",LT,28825,1420.3
153674,"2018-01-29 09:15:37",AXISBANK,86768,616.5
153675,"2018-01-29 09:15:37",ITC,118310,281.55
153676,"2018-01-29 09:15:37",ICICIBANK,106195,357.75
153677,"2018-01-29 09:15:37",HDFCBANK,6695,1980.5
153678,"2018-01-29 09:15:37",JINDALSTEL,267628,282.45
153679,"2018-01-29 09:15:37",ITC,76437,281.25
153680,"2018-01-29 09:15:38",RELIANCE,86776,971.25
153681,"2018-01-29 09:15:39",ITC,118310,281.55
153682,"2018-01-29 09:15:40",SBIN,589419,315.65
153683,"2018-01-29 09:15:41",LT,35116,1421
