order_id,symbol,option_type,option_strike_price,buy_price,no_of_lots,quantity,exchange_order_id,filled_quantity,remaining_quantity,total_buy_price,sell_price,total_sell_price,buy_time,sell_time
14313011,IDFCBANK,CE,60,0.8,5,45000,92561037,45000,0,36000,0.7,31500,"2018-02-01 14:11:00","2018-02-01 14:49:00"
14313013,INFY,CE,1200,12.65,7,4200,49709399,4200,0,53130,11.4,47880,"2018-02-01 11:19:00","2018-02-01 12:08:00"
14313015,ITC,CE,280,7.6,3,7200,11429267,7200,0,54720,7.2,51840,"2018-02-01 11:28:00","2018-02-01 11:36:00"
14313016,ITC,PE,270,2.7,8,19200,80811862,19200,0,51840,3.1,59520,"2018-02-01 14:37:00","2018-02-01 14:44:00"
14313018,JINDALSTEL,PE,260,8.15,1,4500,6421971,4500,0,36675,8.25,37125,"2018-02-01 13:39:00","2018-02-01 13:41:00"
14313020,KOTAKBANK,PE,1060,6.3,10,8000,0,8000,0,50400,6.65,53200,"2018-02-01 12:11:00","2018-02-01 13:20:00"
