order_id,symbol,option_type,option_strike_price,buy_price,no_of_lots,quantity,exchange_order_id,filled_quantity,remaining_quantity,total_buy_price,sell_price,total_sell_price,buy_time,sell_time
14313025,RELIANCE,CE,1020,8.9,6,6000,21016375,6000,0,53400,10.25,61500,"2018-02-01 11:54:00","2018-02-01 12:10:00"
14313026,RELIANCE,PE,900,5.05,10,10000,85022291,10000,0,50500,5.8,58000,"2018-02-01 12:17:00","2018-02-01 12:42:00"
14313027,SBIN,CE,325,7.8,2,6000,62062332,6000,0,46800,7.4,44400,"2018-02-01 12:00:00","2018-02-01 12:18:00"
14313028,SBIN,PE,300,6.15,3,9000,55244791,9000,0,55350,7.05,63450,"2018-02-01 09:40:00","2018-02-01 10:39:00"
