symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
BHARTIARTL,8746066,427.75,-1,a,75,1
BIOCON,3958968,626.85,1,a,75,1
INFY,4500773,1160.75,1,a,70,1
MARUTI,682287,8873.45,1,a,75,1
RELCAPITAL,4581976,458.15,-1,a,75,1
RELIANCE,9022152,948.4,-1,a,70,1
TATAMOTORS,7697153,370.75,-1,a,75,1
TATASTEEL,10422483,675.05,1,a,70,1
TCS,1086917,3037.7,1,a,75,1
VEDL,8707742,323.25,1,a,70,1
