symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url,expiry_date_full,expiry_date_prefix
BPCL,CE,440,7.9,1800,12500,0,0,a,28-03-18,18-Mar
BPCL,PE,410,7.9,1800,12500,0,0,a,28-03-18,18-Mar
LT,CE,1340,12.9,750,12500,0,0,a,28-03-18,18-Mar
LT,PE,1280,12.9,750,12500,0,0,a,28-03-18,18-Mar
MARUTI,CE,9000,101.75,75,12500,0,0,a,28-03-18,18-Mar
MARUTI,PE,8700,101.75,75,12500,0,0,a,28-03-18,18-Mar
RELCAPITAL,CE,500,9.9,750,12500,0,0,a,28-03-18,18-Mar
RELCAPITAL,PE,440,9.9,750,12500,0,0,a,28-03-18,18-Mar
RELIANCE,CE,980,15.25,1000,12500,0,0,a,28-03-18,18-Mar
RELIANCE,PE,920,15.25,1000,12500,0,0,a,28-03-18,18-Mar
SUNPHARMA,CE,550,14.85,1100,12500,0,0,a,28-03-18,18-Mar
SUNPHARMA,PE,520,14.85,1100,12500,0,0,a,28-03-18,18-Mar
TATAMOTORS,CE,390,6.25,1500,12500,0,0,a,28-03-18,18-Mar
TATAMOTORS,PE,350,6.25,1500,12500,0,0,a,28-03-18,18-Mar
TCS,CE,3200,13.55,250,12500,0,0,a,28-03-18,18-Mar
TCS,PE,2900,13.55,250,12500,0,0,a,28-03-18,18-Mar
VEDL,CE,340,10.1,1750,12500,0,0,a,28-03-18,18-Mar
VEDL,PE,320,10.1,1750,12500,0,0,a,28-03-18,18-Mar
