symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level
HDFC,2760591,1811.75,1,a,75
INFY,3987210,1136.95,1,a,75
PCJEWELLER,15065661,363.5,-1,a,75
RELCAPITAL,5648960,473.55,-1,a,70
RELIANCE,5727388,921.1,1,a,70
TATASTEEL,8580628,651.3,0,a,70
TCS,1128582,2944.75,-0.5,a,70
