symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url,expiry_date_full,expiry_date_prefix
HDFC,CE,1900,16,500,7000,0,0,a,28-03-18,18-Mar
INFY,CE,1180,15.75,600,7000,0,0,a,28-03-18,18-Mar
PCJEWELLER,PE,260,9,1500,10000,0,0,a,28-03-18,18-Mar
RELCAPITAL,PE,440,11.9,750,7000,0,0,a,28-03-18,18-Mar
RELIANCE,CE,980,9,1000,7000,0,0,a,28-03-18,18-Mar
TATASTEEL,CE,700,10.3,1061,5000,0,0,a,28-03-18,18-Mar
TATASTEEL,PE,600,9.95,1061,5000,0,0,a,28-03-18,18-Mar
TCS,CE,3200,22.7,250,4000,0,0,a,28-03-18,18-Mar
TCS,PE,2800,31.35,250,6000,0,0,a,28-03-18,18-Mar
