symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
INFY,5474159,1155.65,1,a,75,1
TCS,1337203,3075.8,1,a,75,1
JINDALSTEL,10499239,265,1,a,70,1
MARUTI,526502,8698.8,1,a,70,1
SUNPHARMA,14243664,569.65,1,a,70,1
TATASTEEL,13799514,677.75,1,a,70,1
RELIANCE,4674554,934.25,1,a,75,1
LT,2625708,1301.7,1,a,75,1
