symbol,volume_prev_day,prev_close,curr_signal,url,confidence_level,is_being_used
BHARTIARTL,8089843,421.45,-1,a,75,1
BIOCON,2817786,623.3,1,a,70,1
HDFC,2609823,1789.6,1,a,75,1
INFY,4364935,1155.9,-1,a,75,1
LT,2030476,1300.7,-1,a,70,1
MARUTI,646331,8795.1,-1,a,70,1
MINDTREE,2762535,859.55,1,a,70,1
RELIANCE,9178962,924.1,1,a,75,1
SUNPHARMA,6995850,548.55,1,a,75,1
TATASTEEL,8006333,655.9,-1,a,75,1
TCS,1036483,3105.85,1,a,70,1
VEDL,8307371,315.9,-1,a,70,1
